Linux 2.6.18-164.2.1.el5 (rmai3db.ads.sp1.yahoo.com) 	08/21/2011

09:21:37 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:21:57 PM    0   59.80    0.00   19.20    0.00    0.00    6.30    0.00   14.70   1000.10
09:21:57 PM    1   50.15    0.00   31.57    0.00    0.00    3.40    0.00   14.89      0.00
09:21:57 PM    2   50.25    0.00   31.57    0.00    0.00    4.40    0.00   13.79      0.00
09:21:57 PM    3   50.65    0.00   30.77    0.00    0.00    4.10    0.00   14.49      0.00
09:21:57 PM    4   50.35    0.00   31.13    0.00    0.00    3.70    0.00   14.81      3.40
09:21:57 PM    5   51.25    0.00   30.53    0.00    0.00    3.40    0.00   14.81      0.00
09:21:57 PM    6   51.20    0.00   30.30    0.00    0.00    3.80    0.00   14.70      0.00
09:21:57 PM    7   51.20    0.00   30.70    0.00    0.00    3.60    0.00   14.50      0.00
09:21:57 PM    8   50.70    0.00   29.60    0.00    0.00    4.40    0.00   15.30      0.00
09:21:57 PM    9   49.70    0.00   31.90    0.00    0.00    3.60    0.00   14.80      0.00
09:21:57 PM   10   49.65    0.00   31.67    0.00    0.00    3.80    0.00   14.89      0.00
09:21:57 PM   11   50.60    0.00   31.40    0.00    0.00    4.00    0.00   14.00      0.00
09:21:57 PM   12   51.10    0.00   31.10    0.00    0.00    3.70    0.00   14.10      0.50
09:21:57 PM   13   50.10    0.00   31.50    0.00    0.00    3.90    0.00   14.50      9.80
09:21:57 PM   14   51.45    0.00   30.27    0.00    0.00    4.20    0.00   14.09      3.90
09:21:57 PM   15   50.55    0.00   31.17    0.00    0.00    3.80    0.00   14.49      6.50

09:21:57 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:22:07 PM  all   51.44    0.00   30.55    0.00    0.00    3.94    0.00   14.07   1036.30
09:22:07 PM    0   59.30    0.00   20.40    0.00    0.00    6.10    0.00   14.20   1000.10
09:22:07 PM    1   51.20    0.00   30.90    0.00    0.00    3.40    0.00   14.50      0.00
09:22:07 PM    2   50.45    0.00   31.37    0.00    0.00    3.50    0.00   14.69      0.00
09:22:07 PM    3   49.35    0.00   32.23    0.00    0.00    3.80    0.00   14.61      0.00
09:22:07 PM    4   50.50    0.00   31.54    0.00    0.00    3.99    0.00   13.97      6.30
09:22:07 PM    5   51.60    0.00   31.20    0.00    0.00    3.60    0.00   13.60      0.00
09:22:07 PM    6   51.65    0.00   31.03    0.00    0.00    3.90    0.00   13.41      0.00
09:22:07 PM    7   51.00    0.00   31.40    0.00    0.00    3.60    0.00   14.00      0.00
09:22:07 PM    8   51.60    0.00   29.90    0.00    0.00    4.60    0.00   13.90      0.00
09:22:07 PM    9   51.20    0.00   30.64    0.00    0.00    3.69    0.00   14.47      0.00
09:22:07 PM   10   51.30    0.00   30.86    0.00    0.00    3.81    0.00   14.03      0.00
09:22:07 PM   11   51.05    0.00   30.77    0.00    0.00    3.70    0.00   14.49      0.00
09:22:07 PM   12   51.45    0.00   31.53    0.00    0.00    3.50    0.00   13.51      0.60
09:22:07 PM   13   50.40    0.00   32.00    0.00    0.00    3.70    0.00   13.90     14.30
09:22:07 PM   14   51.60    0.00   31.40    0.00    0.00    3.80    0.00   13.20      5.70
09:22:07 PM   15   49.45    0.00   31.83    0.00    0.00    4.10    0.00   14.61      9.30

09:22:07 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:22:17 PM  all   51.26    0.00   30.63    0.00    0.00    4.04    0.00   14.07   1023.52
09:22:17 PM    0   59.16    0.00   20.52    0.00    0.00    6.41    0.00   13.91   1001.10
09:22:17 PM    1   50.30    0.00   31.36    0.00    0.00    3.91    0.00   14.43      0.00
09:22:17 PM    2   50.30    0.00   31.56    0.00    0.00    4.11    0.00   14.03      0.00
09:22:17 PM    3   51.20    0.00   30.60    0.00    0.00    4.00    0.00   14.20      0.00
09:22:17 PM    4   49.65    0.00   31.73    0.00    0.00    4.00    0.00   14.61      4.70
09:22:17 PM    5   50.85    0.00   31.47    0.00    0.00    3.70    0.00   13.99      0.00
09:22:17 PM    6   50.90    0.00   31.50    0.00    0.00    3.70    0.00   13.90      0.00
09:22:17 PM    7   51.70    0.00   31.10    0.00    0.00    3.70    0.00   13.50      0.00
09:22:17 PM    8   51.15    0.00   29.83    0.00    0.00    4.50    0.00   14.51      0.00
09:22:17 PM    9   51.00    0.00   31.36    0.00    0.00    3.71    0.00   13.93      0.00
09:22:17 PM   10   50.75    0.00   31.67    0.00    0.00    3.80    0.00   13.79      0.00
09:22:17 PM   11   50.70    0.00   31.10    0.00    0.00    3.80    0.00   14.40      0.00
09:22:17 PM   12   50.25    0.00   31.77    0.00    0.00    3.80    0.00   14.19      0.60
09:22:17 PM   13   51.05    0.00   31.53    0.00    0.00    3.80    0.00   13.61      7.61
09:22:17 PM   14   50.40    0.00   31.30    0.00    0.00    4.00    0.00   14.30      3.60
09:22:17 PM   15   51.10    0.00   31.40    0.00    0.00    3.60    0.00   13.90      5.91

09:22:17 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:22:27 PM  all   51.10    0.00   30.56    0.00    0.00    3.99    0.00   14.34   1019.96
09:22:27 PM    0   59.38    0.00   19.86    0.00    0.00    6.59    0.00   14.17    998.10
09:22:27 PM    1   50.60    0.00   31.30    0.00    0.00    3.80    0.00   14.30      0.00
09:22:27 PM    2   50.45    0.00   31.37    0.00    0.00    3.80    0.00   14.39      0.00
09:22:27 PM    3   50.90    0.00   31.44    0.00    0.00    3.79    0.00   13.87      0.00
09:22:27 PM    4   50.40    0.00   30.70    0.00    0.00    4.00    0.00   14.90      4.49
09:22:27 PM    5   50.45    0.00   31.13    0.00    0.00    4.10    0.00   14.31      0.00
09:22:27 PM    6   50.50    0.00   31.70    0.00    0.00    3.70    0.00   14.10      0.00
09:22:27 PM    7   50.20    0.00   31.30    0.00    0.00    4.30    0.00   14.20      0.00
09:22:27 PM    8   50.70    0.00   30.70    0.00    0.00    3.90    0.00   14.70      0.00
09:22:27 PM    9   50.35    0.00   31.57    0.00    0.00    3.60    0.00   14.49      0.00
09:22:27 PM   10   51.65    0.00   30.83    0.00    0.00    3.60    0.00   13.91      0.00
09:22:27 PM   11   50.15    0.00   31.63    0.00    0.00    3.60    0.00   14.61      0.00
09:22:27 PM   12   50.75    0.00   31.43    0.00    0.00    3.50    0.00   14.31      0.60
09:22:27 PM   13   49.85    0.00   31.47    0.00    0.00    4.20    0.00   14.49     12.38
09:22:27 PM   14   50.60    0.00   31.10    0.00    0.00    4.10    0.00   14.20      1.80
09:22:27 PM   15   50.45    0.00   31.67    0.00    0.00    3.60    0.00   14.29      2.59

09:22:27 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:22:37 PM  all   51.06    0.00   30.44    0.00    0.00    3.90    0.00   14.60   1040.08
09:22:37 PM    0   59.12    0.00   20.34    0.00    0.00    6.01    0.00   14.53   1002.10
09:22:37 PM    1   49.95    0.00   31.77    0.00    0.00    3.80    0.00   14.49      0.00
09:22:37 PM    2   50.85    0.00   31.03    0.00    0.00    3.60    0.00   14.51      0.00
09:22:37 PM    3   51.00    0.00   30.36    0.00    0.00    3.61    0.00   15.03      0.00
09:22:37 PM    4   50.50    0.00   30.80    0.00    0.00    4.00    0.00   14.70      6.31
09:22:37 PM    5   50.80    0.00   30.80    0.00    0.00    3.60    0.00   14.80      0.00
09:22:37 PM    6   50.20    0.00   31.80    0.00    0.00    3.60    0.00   14.40      0.00
09:22:37 PM    7   50.70    0.00   30.80    0.00    0.00    3.90    0.00   14.60      0.00
09:22:37 PM    8   50.25    0.00   30.63    0.00    0.00    4.30    0.00   14.81      0.00
09:22:37 PM    9   50.95    0.00   30.97    0.10    0.00    3.40    0.00   14.59      0.00
09:22:37 PM   10   50.40    0.00   31.24    0.00    0.00    3.89    0.00   14.47      0.00
09:22:37 PM   11   49.50    0.00   31.90    0.00    0.00    3.70    0.00   14.90      0.00
09:22:37 PM   12   50.80    0.00   31.10    0.00    0.00    3.90    0.00   14.20      0.50
09:22:37 PM   13   50.90    0.00   31.50    0.00    0.00    3.60    0.00   14.00     19.74
09:22:37 PM   14   50.05    0.00   31.33    0.00    0.00    3.80    0.00   14.81     10.72
09:22:37 PM   15   51.00    0.00   30.50    0.00    0.00    3.60    0.00   14.90      0.70

09:22:37 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:22:47 PM  all   51.45    0.00   30.55    0.00    0.00    4.00    0.00   13.99   1013.69
09:22:47 PM    0   59.64    0.00   19.88    0.00    0.00    6.39    0.00   14.09    999.10
09:22:47 PM    1   50.60    0.00   31.40    0.00    0.00    3.70    0.00   14.30      0.00
09:22:47 PM    2   51.20    0.00   31.40    0.00    0.00    3.70    0.00   13.70      0.00
09:22:47 PM    3   50.10    0.00   32.00    0.00    0.00    3.90    0.00   14.00      0.00
09:22:47 PM    4   50.60    0.00   31.60    0.00    0.00    3.90    0.00   13.90      5.09
09:22:47 PM    5   51.45    0.00   30.77    0.00    0.00    3.70    0.00   14.09      0.00
09:22:47 PM    6   50.30    0.00   31.70    0.00    0.00    3.80    0.00   14.20      0.00
09:22:47 PM    7   50.50    0.00   31.10    0.00    0.00    3.90    0.00   14.50      0.00
09:22:47 PM    8   51.15    0.00   30.47    0.00    0.00    4.60    0.00   13.79      0.00
09:22:47 PM    9   49.70    0.00   32.20    0.00    0.00    3.70    0.00   14.40      0.00
09:22:47 PM   10   51.10    0.00   31.30    0.00    0.00    4.10    0.00   13.50      0.00
09:22:47 PM   11   51.05    0.00   30.97    0.00    0.00    3.40    0.00   14.59      0.00
09:22:47 PM   12   52.30    0.00   30.80    0.00    0.00    3.60    0.00   13.30      0.50
09:22:47 PM   13   51.45    0.00   30.57    0.00    0.00    4.10    0.00   13.89      7.69
09:22:47 PM   14   50.60    0.00   31.80    0.00    0.00    3.70    0.00   13.90      0.50
09:22:47 PM   15   51.40    0.00   31.00    0.00    0.00    3.80    0.00   13.80      0.80

09:22:47 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:22:57 PM  all   51.19    0.00   30.29    0.00    0.00    3.96    0.00   14.57   1017.22
09:22:57 PM    0   58.76    0.00   19.82    0.00    0.00    6.01    0.00   15.42   1001.10
09:22:57 PM    1   51.20    0.00   30.96    0.00    0.00    3.81    0.00   14.03      0.00
09:22:57 PM    2   50.60    0.00   30.60    0.00    0.00    3.90    0.00   14.90      0.00
09:22:57 PM    3   51.30    0.00   30.20    0.00    0.00    3.80    0.00   14.70      0.00
09:22:57 PM    4   49.40    0.00   31.70    0.00    0.00    4.00    0.00   14.90      4.10
09:22:57 PM    5   50.95    0.00   31.03    0.00    0.00    3.60    0.00   14.41      0.00
09:22:57 PM    6   50.50    0.00   31.20    0.00    0.00    4.00    0.00   14.30      0.00
09:22:57 PM    7   50.95    0.00   31.03    0.00    0.00    3.70    0.00   14.31      0.00
09:22:57 PM    8   50.95    0.00   30.27    0.00    0.00    4.40    0.00   14.39      0.00
09:22:57 PM    9   50.15    0.00   31.13    0.00    0.00    3.60    0.00   15.12      0.00
09:22:57 PM   10   50.55    0.00   30.93    0.00    0.00    3.70    0.00   14.81      0.00
09:22:57 PM   11   51.30    0.00   30.80    0.00    0.00    3.80    0.00   14.10      0.00
09:22:57 PM   12   50.90    0.00   31.30    0.00    0.00    3.60    0.00   14.20      0.50
09:22:57 PM   13   50.15    0.00   31.03    0.00    0.00    3.80    0.00   15.02     10.31
09:22:57 PM   14   50.35    0.00   31.73    0.00    0.00    3.80    0.00   14.11      0.50
09:22:57 PM   15   51.25    0.00   30.93    0.00    0.00    3.70    0.00   14.11      0.70

09:22:57 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:23:07 PM  all   52.11    0.00   30.49    0.00    0.00    3.96    0.00   13.44   1020.38
09:23:07 PM    0   60.84    0.00   19.08    0.00    0.00    6.59    0.00   13.49    999.10
09:23:07 PM    1   51.35    0.00   31.47    0.00    0.00    3.70    0.00   13.49      0.00
09:23:07 PM    2   51.25    0.00   31.57    0.00    0.00    3.80    0.00   13.39      0.00
09:23:07 PM    3   50.85    0.00   31.67    0.00    0.00    3.80    0.00   13.69      0.00
09:23:07 PM    4   51.50    0.00   31.30    0.00    0.00    4.00    0.00   13.20      8.59
09:23:07 PM    5   50.90    0.00   31.40    0.00    0.00    3.80    0.00   13.90      0.00
09:23:07 PM    6   51.10    0.00   31.20    0.00    0.00    4.10    0.00   13.60      0.00
09:23:07 PM    7   51.65    0.00   31.17    0.00    0.00    3.90    0.00   13.29      0.00
09:23:07 PM    8   52.40    0.00   30.00    0.00    0.00    4.00    0.00   13.60      0.00
09:23:07 PM    9   51.50    0.00   31.50    0.00    0.00    3.70    0.00   13.30      0.00
09:23:07 PM   10   52.85    0.00   30.53    0.00    0.00    3.50    0.00   13.11      0.00
09:23:07 PM   11   52.50    0.00   30.70    0.00    0.00    3.80    0.00   13.00      0.00
09:23:07 PM   12   51.70    0.00   31.10    0.00    0.00    3.50    0.00   13.70      0.60
09:23:07 PM   13   50.55    0.00   31.93    0.00    0.00    3.70    0.00   13.81      7.19
09:23:07 PM   14   51.80    0.00   31.44    0.00    0.10    3.59    0.00   13.07      3.20
09:23:07 PM   15   50.60    0.00   31.70    0.00    0.00    3.90    0.00   13.80      1.70

09:23:07 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:23:17 PM  all   51.57    0.00   30.60    0.00    0.00    4.07    0.00   13.76   1023.72
09:23:17 PM    0   59.26    0.00   20.72    0.00    0.00    6.01    0.00   14.01   1001.10
09:23:17 PM    1   51.30    0.00   30.60    0.00    0.00    4.20    0.00   13.90      0.00
09:23:17 PM    2   51.35    0.00   31.03    0.00    0.00    3.90    0.00   13.71      0.00
09:23:17 PM    3   50.60    0.00   31.96    0.00    0.00    3.71    0.00   13.73      0.00
09:23:17 PM    4   51.85    0.00   30.63    0.00    0.00    3.70    0.00   13.81      5.51
09:23:17 PM    5   51.50    0.00   30.90    0.00    0.00    4.00    0.00   13.60      0.00
09:23:17 PM    6   51.15    0.00   31.23    0.00    0.00    4.00    0.00   13.61      0.00
09:23:17 PM    7   50.05    0.00   31.53    0.00    0.00    4.00    0.00   14.41      0.00
09:23:17 PM    8   50.55    0.00   30.83    0.00    0.00    4.30    0.00   14.31      0.00
09:23:17 PM    9   51.55    0.00   31.57    0.00    0.00    3.80    0.00   13.09      0.00
09:23:17 PM   10   51.00    0.00   31.90    0.00    0.00    3.60    0.00   13.50      0.00
09:23:17 PM   11   50.50    0.00   32.06    0.00    0.00    3.41    0.00   14.03      0.00
09:23:17 PM   12   50.80    0.00   31.20    0.00    0.00    4.30    0.00   13.70      0.70
09:23:17 PM   13   51.25    0.00   31.17    0.00    0.00    4.00    0.00   13.59     15.22
09:23:17 PM   14   50.60    0.00   31.70    0.00    0.00    4.00    0.00   13.70      0.50
09:23:17 PM   15   51.80    0.00   30.70    0.00    0.00    4.30    0.00   13.20      0.70

09:23:17 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:23:27 PM  all   51.88    0.00   30.57    0.00    0.00    4.03    0.00   13.51   1017.00
09:23:27 PM    0   60.00    0.00   20.50    0.00    0.00    5.90    0.00   13.60   1000.10
09:23:27 PM    1   52.35    0.00   30.57    0.00    0.00    3.80    0.00   13.29      0.00
09:23:27 PM    2   51.05    0.00   31.87    0.00    0.00    3.80    0.00   13.29      0.00
09:23:27 PM    3   52.65    0.00   30.27    0.00    0.00    3.90    0.00   13.19      0.00
09:23:27 PM    4   50.50    0.00   31.70    0.00    0.00    3.90    0.00   13.90      5.80
09:23:27 PM    5   51.15    0.00   31.33    0.00    0.00    3.90    0.00   13.61      0.00
09:23:27 PM    6   50.75    0.00   31.37    0.00    0.00    4.20    0.00   13.69      0.00
09:23:27 PM    7   51.50    0.00   31.10    0.00    0.00    3.80    0.00   13.60      0.00
09:23:27 PM    8   51.40    0.00   30.70    0.00    0.00    4.30    0.00   13.60      0.00
09:23:27 PM    9   50.30    0.00   31.80    0.00    0.00    4.10    0.00   13.80      0.00
09:23:27 PM   10   50.65    0.00   31.77    0.00    0.00    4.10    0.00   13.49      0.00
09:23:27 PM   11   51.40    0.00   31.34    0.00    0.00    3.79    0.00   13.47      0.00
09:23:27 PM   12   50.70    0.00   31.80    0.00    0.00    3.70    0.00   13.80      0.50
09:23:27 PM   13   51.55    0.00   30.63    0.00    0.00    3.90    0.00   13.91      9.20
09:23:27 PM   14   52.40    0.00   30.90    0.00    0.00    3.60    0.00   13.10      0.60
09:23:27 PM   15   51.65    0.00   31.27    0.00    0.00    3.90    0.00   13.19      0.80

09:23:27 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:23:37 PM  all   51.54    0.00   30.60    0.00    0.00    4.03    0.00   13.84   1016.20
09:23:37 PM    0   59.20    0.00   20.90    0.00    0.00    6.00    0.00   13.90   1000.10
09:23:37 PM    1   50.65    0.00   31.23    0.00    0.00    3.90    0.00   14.21      0.00
09:23:37 PM    2   51.00    0.00   31.20    0.00    0.00    3.90    0.00   13.90      0.00
09:23:37 PM    3   51.00    0.00   31.40    0.00    0.00    3.60    0.00   14.00      0.00
09:23:37 PM    4   50.60    0.00   31.90    0.00    0.00    4.00    0.00   13.50      5.40
09:23:37 PM    5   51.75    0.00   30.67    0.00    0.00    3.90    0.00   13.69      0.00
09:23:37 PM    6   50.90    0.00   31.30    0.00    0.00    4.00    0.00   13.80      0.00
09:23:37 PM    7   50.40    0.00   32.10    0.00    0.00    3.80    0.00   13.70      0.00
09:23:37 PM    8   51.60    0.00   29.70    0.00    0.00    4.50    0.00   14.20      0.00
09:23:37 PM    9   50.45    0.00   32.03    0.00    0.00    3.90    0.00   13.61      0.00
09:23:37 PM   10   51.35    0.00   30.83    0.00    0.00    3.80    0.00   14.01      0.00
09:23:37 PM   11   51.55    0.00   30.63    0.00    0.00    4.10    0.00   13.71      0.00
09:23:37 PM   12   51.20    0.00   31.20    0.00    0.00    3.80    0.00   13.80      0.60
09:23:37 PM   13   51.45    0.00   31.47    0.00    0.00    3.70    0.00   13.39      8.90
09:23:37 PM   14   50.90    0.00   31.50    0.00    0.00    3.70    0.00   13.90      0.50
09:23:37 PM   15   50.90    0.00   31.60    0.00    0.00    3.70    0.00   13.80      0.70

09:23:37 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:23:47 PM  all   51.76    0.00   30.26    0.00    0.00    3.99    0.00   13.98   1016.30
09:23:47 PM    0   59.60    0.00   20.30    0.00    0.00    6.00    0.00   14.10   1000.10
09:23:47 PM    1   51.40    0.00   30.30    0.00    0.00    3.90    0.00   14.40      0.00
09:23:47 PM    2   52.15    0.00   30.33    0.00    0.00    3.80    0.00   13.71      0.00
09:23:47 PM    3   50.80    0.00   31.30    0.00    0.00    4.00    0.00   13.90      0.00
09:23:47 PM    4   51.95    0.00   30.43    0.00    0.00    3.60    0.00   14.01      4.90
09:23:47 PM    5   52.05    0.00   30.23    0.00    0.00    3.80    0.00   13.91      0.00
09:23:47 PM    6   50.80    0.00   31.50    0.00    0.00    3.90    0.00   13.80      0.00
09:23:47 PM    7   51.90    0.00   30.80    0.00    0.00    3.70    0.00   13.60      0.00
09:23:47 PM    8   51.60    0.00   30.00    0.00    0.00    4.50    0.00   13.90      0.00
09:23:47 PM    9   51.30    0.00   30.80    0.00    0.00    3.60    0.00   14.30      0.00
09:23:47 PM   10   50.50    0.00   31.10    0.00    0.00    4.00    0.00   14.40      0.00
09:23:47 PM   11   50.80    0.00   31.50    0.00    0.00    3.80    0.00   13.90      0.00
09:23:47 PM   12   50.80    0.00   31.40    0.00    0.00    3.60    0.00   14.20      0.60
09:23:47 PM   13   50.95    0.00   31.13    0.00    0.00    3.80    0.00   14.11      9.50
09:23:47 PM   14   51.10    0.00   31.30    0.00    0.00    3.70    0.00   13.90      0.50
09:23:47 PM   15   50.45    0.00   31.93    0.00    0.00    4.00    0.00   13.61      0.70

09:23:47 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:23:57 PM  all   51.98    0.00   30.42    0.00    0.00    4.13    0.00   13.47   1021.58
09:23:57 PM    0   59.84    0.00   19.58    0.00    0.00    6.59    0.00   13.99    999.10
09:23:57 PM    1   51.45    0.00   31.13    0.00    0.00    3.80    0.00   13.61      0.00
09:23:57 PM    2   51.60    0.00   30.70    0.00    0.00    3.90    0.00   13.80      0.00
09:23:57 PM    3   51.60    0.00   30.70    0.00    0.00    4.40    0.00   13.30      0.00
09:23:57 PM    4   50.90    0.00   31.54    0.00    0.00    4.19    0.00   13.37      4.30
09:23:57 PM    5   50.85    0.00   31.87    0.00    0.00    3.70    0.00   13.59      0.00
09:23:57 PM    6   52.30    0.00   30.40    0.00    0.00    3.90    0.00   13.40      0.00
09:23:57 PM    7   51.20    0.00   32.10    0.00    0.00    3.60    0.00   13.10      0.00
09:23:57 PM    8   52.40    0.00   29.90    0.00    0.00    4.30    0.00   13.40      0.00
09:23:57 PM    9   51.50    0.00   30.70    0.00    0.00    4.10    0.00   13.70      0.00
09:23:57 PM   10   52.20    0.00   30.50    0.00    0.00    3.90    0.00   13.40      0.00
09:23:57 PM   11   50.90    0.00   31.40    0.00    0.00    3.90    0.00   13.80      0.00
09:23:57 PM   12   50.85    0.00   31.83    0.00    0.00    4.10    0.00   13.21      0.30
09:23:57 PM   13   50.70    0.00   31.40    0.00    0.00    3.90    0.00   14.00     16.48
09:23:57 PM   14   51.45    0.00   31.33    0.00    0.00    4.10    0.00   13.11      0.70
09:23:57 PM   15   51.95    0.00   31.43    0.00    0.00    3.80    0.00   12.81      0.70

09:23:57 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:24:07 PM  all   52.24    0.00   30.32    0.00    0.00    3.99    0.00   13.45   1018.02
09:24:07 PM    0   60.96    0.00   19.32    0.00    0.00    5.91    0.00   13.81   1001.10
09:24:07 PM    1   51.55    0.00   31.57    0.00    0.00    3.40    0.00   13.49      0.00
09:24:07 PM    2   51.30    0.00   31.60    0.00    0.00    3.70    0.00   13.40      0.00
09:24:07 PM    3   52.00    0.00   30.60    0.00    0.00    3.70    0.00   13.70      0.00
09:24:07 PM    4   51.25    0.00   31.63    0.00    0.00    4.00    0.00   13.11      6.81
09:24:07 PM    5   52.40    0.00   30.50    0.00    0.00    3.60    0.00   13.50      0.00
09:24:07 PM    6   52.10    0.00   30.70    0.00    0.00    4.10    0.00   13.10      0.80
09:24:07 PM    7   52.00    0.00   31.10    0.00    0.00    3.80    0.00   13.10      0.00
09:24:07 PM    8   51.30    0.00   30.30    0.00    0.00    4.50    0.00   13.90      0.00
09:24:07 PM    9   51.20    0.00   31.20    0.00    0.00    3.80    0.00   13.80      0.00
09:24:07 PM   10   51.35    0.00   31.07    0.00    0.00    3.90    0.00   13.69      0.00
09:24:07 PM   11   51.30    0.00   31.30    0.00    0.00    3.80    0.00   13.60      0.00
09:24:07 PM   12   51.20    0.00   31.30    0.00    0.00    3.90    0.00   13.60      0.00
09:24:07 PM   13   51.55    0.00   30.97    0.00    0.00    3.80    0.00   13.69      8.11
09:24:07 PM   14   52.25    0.00   30.87    0.00    0.00    4.20    0.00   12.69      0.60
09:24:07 PM   15   52.20    0.00   31.04    0.00    0.00    3.79    0.00   12.97      0.60

09:24:07 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:24:17 PM  all   51.45    0.00   30.47    0.01    0.00    4.03    0.00   14.04   1013.30
09:24:17 PM    0   59.60    0.00   20.40    0.00    0.00    6.00    0.00   14.00   1000.10
09:24:17 PM    1   52.00    0.00   30.20    0.00    0.00    3.90    0.00   13.90      0.00
09:24:17 PM    2   51.30    0.00   30.70    0.00    0.00    3.90    0.00   14.10      0.00
09:24:17 PM    3   50.85    0.00   31.53    0.00    0.00    3.80    0.00   13.81      0.00
09:24:17 PM    4   50.20    0.00   31.10    0.00    0.00    4.10    0.00   14.60      4.30
09:24:17 PM    5   51.15    0.00   30.47    0.00    0.00    4.00    0.00   14.39      0.00
09:24:17 PM    6   51.00    0.00   31.30    0.00    0.00    3.70    0.00   14.00      0.50
09:24:17 PM    7   51.25    0.00   30.77    0.10    0.00    3.70    0.00   14.19      0.00
09:24:17 PM    8   50.45    0.00   31.23    0.00    0.00    4.40    0.00   13.91      0.00
09:24:17 PM    9   51.35    0.00   30.77    0.00    0.00    3.80    0.00   14.09      0.00
09:24:17 PM   10   50.80    0.00   31.40    0.00    0.00    3.60    0.00   14.20      0.00
09:24:17 PM   11   50.85    0.00   31.77    0.00    0.00    3.80    0.00   13.59      0.00
09:24:17 PM   12   50.95    0.00   30.97    0.00    0.00    4.10    0.00   13.99      0.00
09:24:17 PM   13   50.05    0.00   32.33    0.00    0.00    3.70    0.00   13.91      7.10
09:24:17 PM   14   50.70    0.00   31.60    0.00    0.00    4.00    0.00   13.70      0.60
09:24:17 PM   15   50.80    0.00   31.16    0.00    0.00    3.91    0.00   14.13      0.70

09:24:17 PM  CPU   %user   %nice    %sys %iowait    %irq   %soft  %steal   %idle    intr/s
09:24:27 PM  all   51.68    0.00   30.32    0.00    0.00    4.09    0.00   13.90   1014.50
09:24:27 PM    0   59.50    0.00   20.00    0.00    0.00    6.10    0.00   14.40   1000.10
09:24:27 PM    1   51.70    0.00   30.80    0.00    0.00    3.70    0.00   13.80      0.00
09:24:27 PM    2   50.30    0.00   32.00    0.00    0.00    4.00    0.00   13.70      0.00
